Player,TOI/GP,Goals/60,Total Assists/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iSCF/60,iHDCF/60,Hits/60,Shots Blocked/60
Brenden Dillon,17.743089430894,0.04,0.87,30.56,2.93,1.41,0.12,7.46,1.15,0.12,8.33,3.22
Radko Gudas,17.875324675325,0.17,0.7,36.36,5.93,2.94,0.17,12.69,1.92,0.26,11.12,5.8
Christopher Tanev,20.167575757576,0.11,0.54,30.0,2.76,3.92,0.09,5.3,0.97,0.22,1.57,6.6
Patrik Nemeth,16.486936936937,0.05,0.44,22.73,2.8,1.75,0.11,5.51,1.43,0.25,6.74,6.44
Jon Merrill,17.878362573099,0.18,0.71,31.25,4.24,4.17,0.18,9.36,2.3,0.35,4.18,4.24
Justin Faulk,22.423780487805,0.36,0.78,33.65,7.08,5.07,0.42,14.32,2.97,0.46,5.09,3.95
Derek Forbort,20.741975308642,0.07,0.43,29.17,2.68,2.67,0.09,6.54,1.11,0.14,3.75,4.96
Cam Fowler,23.367796610169,0.22,0.78,39.66,3.83,5.68,0.2,9.01,2.79,0.48,1.39,3.96
Erik Gudbranson,18.230701754386,0.09,0.35,20.41,4.07,2.13,0.13,8.23,1.56,0.22,7.97,3.64
Mark Pysyk,18.269047619048,0.05,0.47,20.75,3.0,1.56,0.12,6.05,1.13,0.19,6.24,4.18
John Klingberg,24.53046875,0.38,1.34,52.94,5.85,6.54,0.29,13.19,3.44,0.57,1.61,2.94
Taylor Fedun,13.857407407407,0.32,0.56,44.0,6.9,4.65,0.21,12.27,3.05,0.4,1.52,4.65
Kevan Miller,17.745299145299,0.0,0.61,26.92,2.77,0.0,0.09,7.02,0.87,0.09,6.33,6.85
Josh Manson,22.306981981982,0.11,0.47,29.63,3.49,3.13,0.15,6.8,1.96,0.47,6.69,3.27
Dylan DeMelo,19.284199134199,0.16,0.73,26.19,4.4,3.67,0.16,8.69,1.62,0.2,4.89,5.25
