,Player,TOI/GP_x,Goals/60_x,Total Assists/60_x,IPP_x,Shots/60_x,SH%_x,ixG/60_x,iCF/60_x,iSCF/60_x,iHDCF/60_x,Hits/60_x,Shots Blocked/60_x,TOI/GP_y,Goals/60_y,Total Assists/60_y,IPP_y,Shots/60_y,SH%_y,ixG/60_y,iCF/60_y,iSCF/60_y,iHDCF/60_y,Hits/60_y,Shots Blocked/60_y,Goal_Proj
293,Taylor Raddysh,12.335810810811,0.72,0.72,46.81,6.84,10.58,0.91,10.71,7.82,4.73,6.77,1.38,16.567948717949,0.93,0.79,56.92,5.99,15.5,0.83,10.4,6.59,3.9,3.81,1.76,0.7855602596159866
294,Noah Gregor,14.935714285714,0.51,0.96,71.88,9.95,5.13,0.8,16.77,9.44,3.57,7.52,3.12,12.973976608187,0.81,0.57,62.96,9.65,8.4,1.14,16.55,10.87,4.87,7.87,2.76,0.8625084234384252
295,Pierre-Luc Dubois,18.925514403292,1.1,1.25,56.6,9.12,12.02,1.27,15.38,11.82,6.5,4.38,1.68,18.451826484018,1.2,1.6,63.64,9.13,13.17,1.36,16.93,11.72,6.64,3.16,2.09,1.2239555126517727
296,Jesper Bratt,17.427850877193,1.18,2.13,77.66,8.92,13.2,0.81,14.68,8.61,3.62,1.18,1.36,17.367479674797,1.35,1.73,66.97,8.93,15.09,1.01,16.05,10.49,4.26,1.01,0.97,1.233995498267784
298,Michael McLeod,13.325974025974,0.35,0.82,58.82,4.56,7.69,0.42,7.37,4.5,1.4,8.48,1.99,12.251666666667,0.24,1.35,70.27,5.51,4.44,0.61,9.98,5.82,3.06,7.77,3.12,0.5083869415919804
299,Tage Thompson,17.882905982906,1.63,1.29,68.69,10.88,15.02,1.0,19.66,9.64,3.01,2.84,1.08,18.588461538462,1.94,1.94,74.02,12.21,15.93,1.26,22.43,12.37,4.97,2.28,1.08,1.5537630715804869
303,Ross Colton,12.797890295359,1.31,1.01,81.25,9.44,13.84,1.11,15.37,9.67,4.63,9.08,2.14,12.351234567901,0.96,0.96,72.73,9.18,10.46,1.08,16.13,10.14,5.04,11.27,1.68,1.0502205891210554
304,Brandon Hagel,16.35670995671,1.19,0.91,61.97,5.95,20.0,0.77,10.62,6.76,3.14,3.0,1.52,18.646913580247,1.19,1.35,64.0,7.07,16.85,1.09,12.16,9.26,4.81,2.7,2.3,1.0511977349852226
305,Dylan Gambrell,12.136243386243,0.24,0.31,29.17,4.55,5.17,0.52,8.0,4.87,2.28,8.08,3.06,11.388888888889,0.35,0.53,58.82,4.04,8.7,0.4,7.64,4.57,2.11,5.27,3.95,0.44358013867691815
306,Tanner Jeannot,15.987448559671,1.11,0.79,74.55,5.75,19.35,0.75,9.96,7.09,4.03,14.73,2.97,14.253070175439,0.33,0.66,52.94,5.93,5.61,0.79,10.52,7.37,3.93,16.06,3.43,0.6454631827028544
