Player,TOI/GP,Goals/60,Total Assists/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iSCF/60,iHDCF/60,Hits/60,Shots Blocked/60
Jay Beagle,13.654678362573,0.23,0.77,59.09,3.47,6.67,0.34,5.47,3.55,1.93,7.86,2.54
Steven Stamkos,18.300203252033,1.8,2.12,74.81,9.36,19.23,0.91,16.99,10.36,2.6,2.88,1.6
Colin Wilson,13.562564102564,0.82,1.02,58.7,7.08,11.54,0.73,11.64,7.55,3.61,3.74,2.11
Mikkel Boedker,14.022769953052,0.42,1.69,60.34,5.3,7.95,0.56,9.1,5.3,2.29,3.25,1.69
Josh Bailey,16.827642276423,0.7,1.74,72.73,5.48,12.7,0.56,9.61,6.52,2.48,0.83,1.39
Jordan Eberle,16.526923076923,0.88,0.84,56.92,7.45,11.88,0.88,11.87,8.42,4.51,1.68,1.63
Derek Stepan,19.223611111111,0.65,0.87,56.45,8.45,7.69,0.8,13.44,7.15,3.34,2.17,2.21
Adam Henrique,16.451219512195,0.8,1.07,61.76,5.43,14.75,0.74,9.96,6.67,3.91,3.47,3.16
Dale Weise,11.776797385621,0.5,0.6,73.33,5.79,8.62,0.6,9.39,6.49,3.2,8.79,2.1
Gustav Nyquist,17.51975308642,0.93,1.61,68.97,8.63,10.78,0.85,14.8,8.96,3.21,1.52,0.97
Derek Grant,11.686607142857,0.37,0.92,60.87,6.78,5.41,0.59,10.82,4.86,2.57,8.43,2.66
Matt Calvert,14.191869918699,0.57,0.77,61.9,7.27,7.8,0.65,10.93,7.06,3.4,5.93,2.63
Matt Martin,11.433333333333,0.47,0.63,58.33,4.86,9.68,0.49,8.46,5.17,2.43,21.54,3.29
Cam Atkinson,19.377916666667,1.59,1.08,67.65,11.42,13.9,1.16,18.85,10.95,4.64,1.05,0.97
Antoine Roussel,13.758974358974,0.6,1.48,77.5,5.64,10.71,0.62,10.33,6.37,3.35,5.84,3.35
Tyler Johnson,15.948333333333,1.36,0.85,52.22,7.67,17.79,0.93,12.6,8.46,3.81,2.35,1.5
Mike Hoffman,17.837804878049,1.48,1.39,67.31,10.38,14.23,0.83,18.09,8.04,2.46,1.72,1.07
